taxon_name_from	taxon_name_to	Match_type	taxon_id (if not in DynTaxa)	Note
Goniochloris spp	Goniochloris 	antag felstav		
Gonyaulax catenata	Peridiniella catenata	exact		
Gonyaulax digitale	Gonyaulax digitalis	Exact		
Gorgonacea	Alcyonacea	Exact		
Gymnodinium chlorophorum	Lepidodinium chlorophorum	Exact		
Gymnodinium galatheanum	Karlodinium veneficum	exact		
Gymnodinium halophilum	Biecheleria halophila	exact		
Gymnodinium helveticum	Gyrodinium helveticum	Exact		
Gymnodinium sanguineum	Akashiwo sanguinea	exact		
Gymnodinium splendens	Gymnodinium sanguineum	Exact		
Gymnodinium vestificii	Kapelodinium vestifici	phonetic		
Gyptis helgolandica	Podarkeopsis helgolandicus	Exact		
Gyptis helgolandica (?)	Gyptis helgolandica	antag felstav		
Gyptis rosea	Neogyptis rosea			
Gyrodinium sp.	Gyrodinium	felstav		
HALACARIDAE	Halacaridae	felstav		
Halamphora coffeaeformis	Halamphora coffeiformis	Exact		
Halcampa chrysanthellum	Halcampa duodecimcirrata	Exact		
Haliosiphon tomentosus	Halosiphon tomentosus	antag felstav		
Haliphron atlanticum	Haliphron atlanticus	Exact		
Haliplus sp.	Haliplus	felstav		
Haptophyceae	Coccolithophyceae	Exact		
Harmothoe ljungmani	Malmgrenia ljungmani	Exact		
Harmothoe longisetis	Harmothoe glabra	Exact		
Harmothoe nodosa	Eunoe nodosa	exact		
Helgicirrha schulzei	Helgicirrha cari			
Heliocostomella subulata	Helicostomella subulata	antag felstav		
Helminthocladia vermicularis	Mesogloia vermiculata	Exact		
Hemilamprops cristata	Hemilamprops cristatus	antag felstav		
Hemilamprops rosea	Hemilamprops roseus	Exact		
Heterocapsa arctica ssp. frigida	Heterocapsa arctica subsp. frigida	Exact		
Heterocapsa triquerta	Heterocapsa triquetra			
Heterochaeta costata	Baltidrilus costatus	Exact		
Heterosiphonia japonica	Dasysiphonia japonica	Exact		
Hinia incrassata	Tritia incrassata	Exact		
Hippoglossoides platessoides/Limanda limanda	Pleuronectidae			
Hirudinea	Hirudinida	Exact		
holophrya	Holophrya	felstav		
Holothuriodea	Holothuroidea	felstav		
Hyale vitrea	Hyala vitrea	antag felstav		
Hydracarina	Hydrachnidiae	Exact		
Hydrachnidia	Hydrachnidiae	Exact		
Hydrachtinia carnea	Podocoryna carnea			
Hydractinia carnea	Podocoryna carnea	Exact		
HYDROBIA SP.	Hydrobia	felstav		
Hydrobia ulvae	Peringia ulvae	Exact		
Hydrobia ventrosa	Ecrobia ventrosa	Exact		
Hydrobia/potamopyrgus	Truncatelloidea	antag felstav		
HYDROBIIDAE	Hydrobiidae	felstav		
Hydrobiidae/Tateidae	Truncatelloidea			
Hydroida	Hydroidolina	Exact		
